"Stock_ID","Year","Catch_biomass","Weight","Index","Stock_number","Spawning_number","F"
0,1979,190,280,NA,NA,NA,NA
0,1980,215,280,NA,NA,NA,NA
0,1981,161,280,9.68,43.76,19.75,0.2
0,1982,169,280,4.81,21.77,7.48,0.47
0,1983,162,280,4.91,22.22,7.91,0.43
0,1984,139,280,3.68,16.62,5.44,0.52
0,1985,136,280,2.97,13.41,3.77,0.67
0,1986,77,280,1.93,8.73,2.75,0.56
0,1987,181,280,4.26,19.28,5.79,0.6
0,1988,145,280,3.54,16,4.94,0.58
0,1989,187,280,4.02,18.16,5.01,0.69
0,1990,183,280,3.25,14.71,3.24,0.91
0,1991,194,280,6.27,28.35,10.41,0.4
0,1992,229,280,6.76,30.59,10.73,0.45
0,1993,285,280,9.8,44.32,16.78,0.37
0,1994,263,280,10.51,47.52,19.13,0.31
0,1995,252,280,10.75,48.63,20.02,0.29
0,1996,318,280,10.25,46.35,17.04,0.4
0,1997,278,280,17.26,78.05,35.49,0.19
0,1998,210,280,6.56,29.69,10.73,0.42
0,1999,310,280,14.41,65.16,27.56,0.26
0,2000,262,280,12.83,58.03,24.91,0.25
0,2001,268,280,14.44,65.31,28.74,0.22
0,2002,292,280,12.68,57.33,23.73,0.28
0,2003,282,280,10.76,48.67,19.24,0.33
0,2004,221,280,8.58,38.81,15.45,0.32
0,2005,225,280,9.53,43.11,17.7,0.29
0,2006,236,280,8.22,37.19,14.16,0.37
0,2007,156,280,10.01,45.29,20.74,0.18
0,2008,187,280,15.62,70.63,33.81,0.14
0,2009,192,280,12.8,57.91,26.7,0.17
0,2010,159,280,9.68,43.77,19.8,0.19
0,2011,131,280,12.4,56.08,27.32,0.12
0,2012,145,280,9.98,45.15,20.94,0.17
0,2013,118,280,9.21,41.66,19.75,0.15
0,2014,112,280,14.45,65.36,32.92,0.09
0,2015,102,280,6.5,29.38,13.43,0.18
0,2016,84,280,7.22,32.65,15.71,0.13
0,2017,85,280,7.26,32.82,15.76,0.13
0,2018,NA,280,5.29,23.94,NA,NA
1,1979,49,300,0.41,7.8,3.1,0.34
1,1980,181,300,1.16,22.3,7.3,0.52
1,1981,75,300,0.52,9.9,3.5,0.44
1,1982,63,300,0.3,5.7,1.7,0.64
1,1983,68,300,0.57,10.9,4.3,0.34
1,1984,75,300,0.63,12.1,4.8,0.33
1,1985,37,300,0.24,4.5,1.6,0.47
1,1986,55,300,0.32,6.1,2.1,0.49
1,1987,69,300,0.35,6.8,2.1,0.57
1,1988,54,300,0.43,8.3,3.3,0.33
1,1989,102,311,0.69,13.3,4.9,0.39
1,1990,94,311,0.74,14.3,5.7,0.33
1,1991,180,311,0.91,17.4,5.4,0.58
1,1992,311,311,1.65,31.7,9.9,0.56
1,1993,217,311,1.55,29.7,11,0.39
1,1994,248,311,1.17,22.4,5.8,0.76
1,1995,219,311,1.01,19.3,5.2,0.72
1,1996,401,311,1.73,33.4,7.9,0.84
1,1997,298,311,1.47,28.3,8.1,0.65
1,1998,134,311,0.63,12.1,3.6,0.62
1,1999,178,311,0.84,16.1,4.8,0.62
1,2000,315,311,1.33,25.7,6.4,0.79
1,2001,263,311,1.49,28.6,9.5,0.51
1,2002,187,311,1.2,23.1,8.4,0.42
1,2003,224,311,1.21,23.2,7.5,0.53
1,2004,214,311,1.22,23.4,7.8,0.5
1,2005,185,311,1.1,21.2,7.3,0.47
1,2006,166,311,0.86,16.6,5.3,0.53
1,2007,267,311,1.74,33.5,11.9,0.43
1,2008,205,311,1.64,31.6,12.5,0.33
1,2009,213,311,1.66,31.8,12.2,0.36
1,2010,221,311,1.28,24.5,8.2,0.49
1,2011,290,311,1.61,31,10,0.53
1,2012,183,311,1.28,24.6,9.1,0.39
1,2013,234,311,1.27,24.5,7.9,0.53
1,2014,225,311,1.19,22.9,7.3,0.55
1,2015,193,311,0.83,16,4.2,0.74
1,2016,101,311,0.43,8.2,2.2,0.74
1,2017,54,311,0.38,7.2,2.7,0.39
1,2018,NA,311,NA,4.9,1.8,0.39
